name,party,dim1,dim2
Canan Bayram,BÜNDNIS 90/DIE GRÜNEN,-0.027600428426121808,-0.03995210434789927
Cem Özdemir,BÜNDNIS 90/DIE GRÜNEN,-0.02720912803786453,0.004682128562214838
Chantal Kopf,BÜNDNIS 90/DIE GRÜNEN,-0.03205497994552706,0.01079368001492285
Christian Kühn,BÜNDNIS 90/DIE GRÜNEN,-0.02561519011726479,0.00779816999010218
Christina-Johanne Schröder,BÜNDNIS 90/DIE GRÜNEN,-0.027745173274020075,0.007027769512228098
Claudia Müller,BÜNDNIS 90/DIE GRÜNEN,-0.027455734545680305,0.004200808963752384
Claudia Roth,BÜNDNIS 90/DIE GRÜNEN,-0.028504020320770932,0.00803794294048615
Corinna Rüffer,BÜNDNIS 90/DIE GRÜNEN,-0.029982794899417464,0.00490980929885625
Deborah Düring,BÜNDNIS 90/DIE GRÜNEN,-0.035424518097209,0.006500212442842274
Denise Loop,BÜNDNIS 90/DIE GRÜNEN,-0.028543466215598206,0.004790972983494886
