name,party,irt,svd_imp,svd_dc
Michael Schrodi,SPD,-0.9733086845861325,0.04294416578884357,-0.034158137982444894
Michael Theurer,FDP,-0.3568841383228818,0.04247173314650533,-0.020730914554446835
Michael Thews,SPD,-1.4312856568488954,0.043061436410618964,-0.03167253883487344
Michelle Müntefering,SPD,-1.05362005833317,0.042786457845486875,-0.02843576571843283
Mike Moncsek,AfD,1.6600823290758608,0.00920702888035379,0.03193554303081748
Misbah Khan,BÜNDNIS 90/DIE GRÜNEN,-0.8485185248486025,0.04312374793468906,-0.035312421387322275
Monika Grütters,CDU/CSU,0.9431978219124877,0.028890771336435455,0.04802319345700548
Moritz Oppelt,CDU/CSU,0.9672072255151996,0.029669582069966116,0.05020871718694011
Muhanad Al-Halak,FDP,-0.329600401323395,0.042986579063230085,-0.03086229954159052
Nadine Heselhaus,SPD,-0.8552187300158322,0.042835470276074136,-0.03428940881788311
Nadine Ruf,SPD,-0.8477959628586712,0.04306054764775506,-0.009227901962438076
Nadine Schön,CDU/CSU,0.989229574565188,0.030036870556771497,0.05039441421210665
Nadja Sthamer,SPD,0.40994779721593394,0.038731138664814396,-0.02959415808001259
Natalie Pawlik,SPD,-1.0647198159670677,0.04350424477157868,-0.031361558946013765
Nezahat Baradari,SPD,-0.9486559796791558,0.04328892876784955,-0.030354894020747997
Nico Tippelt,FDP,0.16013950137366612,0.04194976301201483,-0.02346877051248787
Nicolas Zippelius,CDU/CSU,0.9313902037318202,0.029767475786764003,0.050469285578756275
Nicole Bauer,FDP,-0.4962398179163227,0.04304719919295792,-0.016833964502257232
Nicole Gohlke,DIE LINKE.,1.3267771323384165,0.014304096099841722,0.006307554895897586
Nicole Höchst,AfD,1.5349566680600881,0.011476966138216735,0.030191232461696672
Nicole Westig,FDP,-0.43481705105917223,0.04275570346715306,-0.029074394098878194
Niels Annen,SPD,-0.8238318461255147,0.04317018109705657,-0.02986643010424324
Niklas Wagener,BÜNDNIS 90/DIE GRÜNEN,-1.0440288255029124,0.04320860784992003,-0.03441240764404551
Nils Gründer,FDP,-0.6441322174924989,0.04228696554680471,-0.023696496362769864
Nils Schmid,SPD,-1.3422282147732003,0.043429468398425645,-0.03385491181233856
Nina Scheer,SPD,-1.1950482732052272,0.042937879906743526,-0.03487704053605197
Nina Stahr,BÜNDNIS 90/DIE GRÜNEN,-1.0129882081736454,0.042825020321697695,-0.028156495781231226
Nina Warken,CDU/CSU,0.9542648727171045,0.0288665540997565,0.05195280957692468
Norbert Kleinwächter,AfD,1.480946932981807,0.012141124416414916,0.03294418312592109
Norbert Maria Altenkamp,CDU/CSU,0.9589042084422098,0.029699862395900088,0.053230472963293515
Norbert Röttgen,CDU/CSU,0.927559053351823,0.03058712221300832,0.05064676279549176
Nyke Slawik,BÜNDNIS 90/DIE GRÜNEN,-0.08614121827673647,0.04266608563808546,-0.028618446304931752
Olaf in der Beek,FDP,-0.4013782733904979,0.04290386426753042,-0.0314110014682471
Olaf Scholz,SPD,-1.9724687218300867,0.04212294115958683,-0.021340852496984652
Olav Gutting,CDU/CSU,1.0190980152895208,0.02737496404534068,0.05326461060504264
Oliver Grundmann,CDU/CSU,0.9348426873102277,0.028114457711488853,0.0513820523443711
Oliver Kaczmarek,SPD,-0.7894111850239278,0.04321145444096534,-0.03430801422087367
Oliver Krischer,BÜNDNIS 90/DIE GRÜNEN,-0.7690880213289393,0.03767383022728253,-0.005405271892328555
Oliver Luksic,FDP,-0.2785105440645748,0.041791705880669675,-0.025500424531472683
Oliver Vogt,CDU/CSU,0.9898399998276611,0.029146365842098846,0.058508078444458815
Omid Nouripour,BÜNDNIS 90/DIE GRÜNEN,-0.6872970601154167,0.042846039669126215,-0.030781523230939252
Ophelia Nick,BÜNDNIS 90/DIE GRÜNEN,-1.4919907246187691,0.042748095968552835,-0.03329215352555033
Ottilie Klein,CDU/CSU,0.9607627973332468,0.029891540487450127,0.056597876793719096
Ottmar von Holtz,BÜNDNIS 90/DIE GRÜNEN,-0.8406035620234064,0.04165680507039436,-0.009422143649918667
Otto Fricke,FDP,-0.7240845853837329,0.042748831264192245,-0.030545750783423958
Parsa Marvi,SPD,-1.0035587708743692,0.04317007841591466,-0.03312724498998106
Pascal Kober,FDP,-0.28149735599381487,0.04272164396049927,-0.026942949360425676
Pascal Meiser,DIE LINKE.,1.3151299506252656,0.01462577530050443,0.010357510386549909
Patricia Lips,CDU/CSU,0.9911460372554104,0.029044185584349607,0.050177037852900376
Patrick Schnieder,CDU/CSU,0.935084609939836,0.028706758304794373,0.05613489100556147
Paul Lehrieder,CDU/CSU,0.9697821112683607,0.029398199666416762,0.05820313316467963
Paul Ziemiak,CDU/CSU,0.9621545616126601,0.029335783101674864,0.04693348797366147
Paula Piechotta,BÜNDNIS 90/DIE GRÜNEN,-0.8506225617203204,0.04304252832232672,-0.03365692956929622
Peggy Schierenbeck,SPD,-0.8615932773806254,0.043188470187200206,-0.028621256254407746
Peter Aumer,CDU/CSU,0.9279586373734773,0.029146365842098846,0.058508078444458815
Peter Beyer,CDU/CSU,0.9348786790171466,0.02977700655933979,0.049275538905325135
Peter Boehringer,AfD,1.5485166085916728,0.009483077536429898,0.03216158480520438
Peter Felser,AfD,1.4647299624883068,0.011799036986235495,0.03416049421758532
Peter Heidt,FDP,-0.460646019411709,0.04287641134054073,-0.02957752584976786
Peter Ramsauer,CDU/CSU,0.9908766936255149,0.027917070713665476,0.03639171198878783
Petr Bystron,AfD,1.80340767253111,0.009041002734383553,0.015882393337617224
Petra Nicolaisen,CDU/CSU,0.9565545707522907,0.029310662784868755,0.05757936886544413
Petra Pau,DIE LINKE.,1.3454150585742217,0.013926397580431356,0.006791491559146128
Petra Sitte,DIE LINKE.,1.3251386077781222,0.013127778580766853,0.004872951981569677
Philip Krämer,BÜNDNIS 90/DIE GRÜNEN,-1.3152654091425302,0.04320045601090442,-0.030397065341099823
Philipp Amthor,CDU/CSU,0.9803139835370226,0.029443336800711338,0.05444501772923799
Philipp Hartewig,FDP,-0.30140297537018607,0.04307222236990244,-0.030509420238759456
Rainer Keller,SPD,-1.1301658861024215,0.037762094931579976,-0.006239326760687876
Rainer Kraft,AfD,1.4306246113347627,0.010773856070030513,0.03974932647178437
Rainer Rothfuß,AfD,1.6136208936363914,0.011709512266791976,0.021692421331454867
Rainer Semet,FDP,-0.39728084210033965,0.043138165035623774,-0.02789219021598595
Ralf Stegner,SPD,-0.8349035542083447,0.04294733444984165,-0.031199886795824333
Ralph Brinkhaus,CDU/CSU,0.9528889531033282,0.0293797401241787,0.05528083430159901
Ralph Edelhäußer,CDU/CSU,0.9835264642035199,0.029944538199245165,0.05367120458081025
Ralph Lenkert,DIE LINKE.,1.334065777054853,0.01290944893005532,0.002680380572807205
Rasha Nasr,SPD,-0.39939523335787774,0.04247667561414098,-0.03132502814133951
Rebecca Schamber,SPD,-1.2368471235893714,0.04303552748700219,-0.029536506491836312
Reem Alabali Radovan,SPD,-0.9869808855316343,0.04262596646307153,-0.03044764274401661
Reginald Hanke,FDP,-0.4693424267640185,0.0409814724065553,-0.022675184867028565
Reinhard Brandl,CDU/CSU,0.9431816842381342,0.029066578643367452,0.05247215580087135
